,id,artist_name,track_name,album_name,artist_genre,artist_popularity,track_popularity,artist_followers,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1183,1UEHM8m4GswZLNykPkInEy,BIG MAMA,Just One Day,Just One Day,['korean pop'],35,13,13681,257333,0.513,11,-5.267,0.0401,0.65,0.0,0.123,0.113,139.015,257333,4
1184,5rXek3NJpCQfJxOjaKrj6j,Park Hwayobi,Glass,Miss Ripley OST,['korean singer-songwriter'],29,22,11977,241690,0.401,3,-6.824,0.0498,0.809,0.0,0.176,0.252,139.817,241690,4
1185,0Ss0kgHzdnZvLRaJD3UPJM,Realslow,With Me,YG 10th Anniversary,"['classic k-pop', 'korean pop']",32,14,38403,211293,0.713,0,-4.792,0.046,0.295,0.0,0.321,0.655,86.033,211293,4
1186,0OZxEbt5CR2QwPerD1ihPu,BROWN EYED SOUL,Love Ballad,Browneyed Soul,['korean pop'],32,0,45250,301027,0.522,4,-5.713,0.0444,0.453,0.0,0.109,0.29,173.876,301027,3
1187,0IwDO38DaBE7cMl4aLgybU,Brown Eyes,점점,Reasons 4 Breathing,['k-rock'],33,37,47847,211520,0.741,9,-4.527,0.0355,0.183,0.0,0.231,0.349,82.036,211520,4
1188,0Kn50vD567sfUpQOSo9xXL,Lena Park,You Mean Everything To Me,Cover Me Vol.1,"['k-rock', 'korean pop']",38,7,32979,272933,0.665,9,-4.412,0.0442,0.446,0.0,0.291,0.603,159.705,272933,4
1189,5SZAcEsbb9HrVTsu5kwWMT,Yoon Mirae,"Good Bye Sadness, Hello Happiness",t 3 YOONMIRAE,"['k-pop', 'korean ost', 'korean pop', 'korean r&b']",52,26,272911,278779,0.481,10,-5.168,0.0314,0.53,0.0,0.134,0.104,135.894,278779,4
1190,77IXf3D6H1tY1ntjDaRxLp,Park Hyo Shin,해줄 수 없는 일,해줄 수 없는 일,['korean pop'],42,36,126779,261277,0.503,0,-5.833,0.03,0.706,0.0,0.148,0.144,110.065,261277,4
1191,4GxDnqSIAzLiCDhqwoEwA4,BROWN EYED SOUL,Right,It' Soul Right,['korean pop'],32,0,45250,248767,0.639,7,-6.273,0.0364,0.671,0.00048,0.0877,0.598,78.008,248767,4
1192,0VYJeoMOiBilD6q7enMrY6,Realslow,Good-bye Luv,YG 10th Anniversary,"['classic k-pop', 'korean pop']",32,6,38403,198893,0.82,2,-3.583,0.0823,0.258,0.0,0.422,0.378,89.025,198893,4
1193,07VvEa9SMOPV5eiyGf5Tx2,Yangpa,A'ddio,Yangpa Best,['korean ost'],27,15,6340,243357,0.618,8,-7.023,0.0339,0.389,0.0,0.155,0.318,117.834,243357,4
1194,3w0IoJb39EAAVY8ELVr8Vl,2NE1,IF I WERE YOU,CRUSH,"['dance pop', 'k-pop', 'k-pop girl group']",58,41,2194835,210258,0.657,5,-3.509,0.0487,0.195,0.0,0.0531,0.624,181.94,210258,3
1195,1hNYiYh10zoFl4L6RrLDHq,Lena Park,In dreams,Op. 4,"['k-rock', 'korean pop']",38,34,32979,337067,0.526,10,-6.938,0.0429,0.632,0.0,0.154,0.311,136.169,337067,4
1197,2EKF9fFb5X7117shgzvsJT,Gummy,Memory Loss,YG 10th Anniversary,"['k-pop', 'korean pop']",48,10,277437,234640,0.574,10,-5.662,0.0978,0.384,0.0,0.261,0.323,199.903,234640,3
1198,7fLijBP4BGujlmHRP3aX32,TAEYANG,링가링가 (RINGA LINGA),RISE,['korean r&b'],54,53,823221,227021,0.845,1,-3.029,0.066,0.0858,0.0,0.124,0.393,141.018,227021,4
1199,19wmQD19yr6piH6Uto8OSm,BROWN EYED SOUL,HOME,BROWN EYED SOUL 4th Regular Album ‘SOUL COOKE’,['korean pop'],32,0,45250,283640,0.571,2,-5.815,0.0314,0.634,0.0,0.262,0.226,137.865,283640,4
1200,26niEovvgyaq9po2KubsJI,Dvwn,lost,lost,['chill r&b'],51,45,147546,274000,0.536,4,-5.829,0.0295,0.16,0.000207,0.0594,0.287,169.617,274000,4
1201,3voGBHMWnfdodTDRtScUIp,YESUNG,MONOLOGUE,Refresh project,"['k-pop', 'korean pop']",40,36,322888,256008,0.358,10,-7.043,0.0284,0.732,0.0,0.105,0.211,125.836,256008,4
1202,1zgGCWMf6OOh2IP7OmkI03,Love recipe,forever,First time ... ing,[],8,25,30,230611,0.306,8,-11.878,0.0262,0.803,8.64e-06,0.0936,0.286,89.945,230611,4
1203,0BiompCTb9kPFJBHvnbIBH,Narae Lee,BBI-YO,BBI-YO,[],19,29,867,217402,0.686,5,-5.149,0.0499,0.422,0.000136,0.0615,0.74,108.976,217402,4
